season,champion
2001,Los Angeles Lakers
2002,Los Angeles Lakers
2003,San Antonio Spurs
2004,Detroit Pistons
2005,San Antonio Spurs
2006,Miami Heat
2007,San Antonio Spurs
2008,Boston Celtics
2009,Los Angeles Lakers
2010,Los Angeles Lakers
2011,Dallas Mavericks
2012,Miami Heat
2013,Miami Heat
2014,San Antonio Spurs
2015,Golden State Warriors
2016,Cleveland Cavaliers
2017,Golden State Warriors
2018,Golden State Warriors
2019,Toronto Raptors
2020,Los Angeles Lakers
2021,Milwaukee Bucks
2022,Golden State Warriors
2023,Denver Nuggets
2024,Boston Celtics
